Name,Entity Id,Rank type,Rank value,Time span
SSCI,2756343272,H-Index,73,One Year
CI,1120693805,H-Index,74,One Year
ISLPED,1120728542,H-Index,75,One Year
HPCA,1126329156,H-Index,76,One Year
GLSVLSI,1128953550,H-Index,77,One Year
ITA,1129078273,H-Index,78,One Year
ATVA,1130464007,H-Index,79,One Year
GLOBECOM,1131420910,H-Index,80,One Year
ICMI,1131590914,H-Index,81,One Year
ICMLA,1138691947,H-Index,82,One Year
ICIAP,1139274412,H-Index,83,One Year
MICRO,1150919317,H-Index,84,One Year
CIG,1155638383,H-Index,85,One Year
COLING,1169674987,H-Index,86,One Year
FCCM,1171922823,H-Index,87,One Year
ICB,1172556315,H-Index,88,One Year
ASPLOS,1174091362,H-Index,89,One Year
SIGMOD,1175089206,H-Index,90,One Year
PAKDD,1178327129,H-Index,91,One Year
ECIR,1180513217,H-Index,92,One Year
ISWCS,1182747003,H-Index,93,One Year
DCC,1185773761,H-Index,94,One Year
FedCSIS,1185931494,H-Index,95,One Year
ICCD,1186985151,H-Index,96,One Year
AINA,1187330200,H-Index,97,One Year
ACC,1190039108,H-Index,98,One Year
SiPS,1190659448,H-Index,99,One Year
IPDPS,1191753779,H-Index,100,One Year
CVPR,1158167855,Saliency,1,Five Years
ICLR,2584161585,Saliency,2,Five Years
NeurIPS,1127325140,Saliency,3,Five Years
ICML,1180662882,Saliency,4,Five Years
ICASSP,1121227772,Saliency,5,Five Years
ICCV,1164975091,Saliency,6,Five Years
INTERSPEECH,1177287137,Saliency,7,Five Years
EMNLP,1192655580,Saliency,8,Five Years
ECCV,1124077590,Saliency,9,Five Years
IJCNN,1140449422,Saliency,10,Five Years
AAAI,1184914352,Saliency,11,Five Years
MICCAI,1129324708,Saliency,12,Five Years
ACL,1188739475,Saliency,13,Five Years
ICRA,1163902177,Saliency,14,Five Years
SMC,1170695740,Saliency,15,Five Years
KDD,1130985203,Saliency,16,Five Years
NAACL,1173951661,Saliency,17,Five Years
ISCA,1131341566,Saliency,18,Five Years
MM,1135237122,Saliency,19,Five Years
SOCO,1123077274,Saliency,20,Five Years
ICIP,1163163559,Saliency,21,Five Years
IROS,1143279144,Saliency,22,Five Years
IJCAI,1203999783,Saliency,23,Five Years
ICPR,1131605622,Saliency,24,Five Years
OSDI,1185109434,Saliency,25,Five Years
ICONIP,1183580825,Saliency,26,Five Years
CCS,1198471430,Saliency,27,Five Years
S&P,1163618098,Saliency,28,Five Years
IJCNLP,1126706392,Saliency,29,Five Years
WACV,1149655676,Saliency,30,Five Years
ASRU,2606697348,Saliency,31,Five Years
DAC,1187904452,Saliency,32,Five Years
CCC,2623792093,Saliency,33,Five Years
WWW,1135342153,Saliency,34,Five Years
AISTATS,2622962978,Saliency,35,Five Years
EMBC,2232857946,Saliency,36,Five Years
SIGIR,1140684652,Saliency,37,Five Years
ISCAS,1192710900,Saliency,38,Five Years
IGARSS,1195013065,Saliency,39,Five Years
SLT,1196016004,Saliency,40,Five Years
ISBI,1187587159,Saliency,41,Five Years
CCDC,2624597182,Saliency,42,Five Years
FPGA,1136755600,Saliency,43,Five Years
ICANN,1158833223,Saliency,44,Five Years
ICDM,1183478919,Saliency,45,Five Years
Big Data,2623113034,Saliency,46,Five Years
SSCI,2756343272,Saliency,47,Five Years
ICMLA,1138691947,Saliency,48,Five Years
GECCO,1140000399,Saliency,49,Five Years
RecSys,1134284382,Saliency,50,Five Years
MICRO,1150919317,Saliency,51,Five Years
DATE,1178330879,Saliency,52,Five Years
COLING,1169674987,Saliency,53,Five Years
CIKM,1194094125,Saliency,54,Five Years
ICC,1130451194,Saliency,55,Five Years
ASPLOS,1174091362,Saliency,56,Five Years
ISSCC,1183230087,Saliency,57,Five Years
ACC,1190039108,Saliency,58,Five Years
3DV,2754869338,Saliency,59,Five Years
BMVC,1198654179,Saliency,60,Five Years
APSIPA,2754583030,Saliency,61,Five Years
ICSP,2622739841,Saliency,62,Five Years
ICAI,2755283090,Saliency,63,Five Years
ICME,1126322613,Saliency,64,Five Years
EUSIPCO,2756071452,Saliency,65,Five Years
EACL,1188587990,Saliency,66,Five Years
ISNN,1161424158,Saliency,67,Five Years
ASP-DAC,1137823534,Saliency,68,Five Years
ICCAD,1128132410,Saliency,69,Five Years
IV,2756192179,Saliency,70,Five Years
SIU,2735422400,Saliency,71,Five Years
CoNLL,2724687765,Saliency,72,Five Years
ITSC,2623670486,Saliency,73,Five Years
ECML,2755314191,Saliency,74,Five Years
ASILOMAR,2623229432,Saliency,75,Five Years
CEC,1200052134,Saliency,76,Five Years
CDC,1198780418,Saliency,77,Five Years
BIBM,1156210184,Saliency,78,Five Years
ICNC,2622723275,Saliency,79,Five Years
EUROS&P,2584683931,Saliency,80,Five Years
SIGGRAPH,1164321581,Saliency,81,Five Years
SECURITY,2537594308,Saliency,82,Five Years
ACCV,1174644639,Saliency,83,Five Years
IECON,2623571572,Saliency,84,Five Years
OFC,2621451516,Saliency,85,Five Years
ISCSLP,1191598575,Saliency,86,Five Years
DSS,1182309694,Saliency,87,Five Years
IEDM,2624381848,Saliency,88,Five Years
MLSP,2624449468,Saliency,89,Five Years
CAC,2755940150,Saliency,90,Five Years
GlobalSIP,2755685038,Saliency,91,Five Years
ICDAR,1150099070,Saliency,92,Five Years
WSDM,1120384002,Saliency,93,Five Years
PES,2622411833,Saliency,94,Five Years
UAI,1204606053,Saliency,95,Five Years
ISMIR,1144674403,Saliency,96,Five Years
CLOUD,1137657189,Saliency,97,Five Years
SiPS,1190659448,Saliency,98,Five Years
ICCE,2622029738,Saliency,99,Five Years
CLEO,2623670637,Saliency,100,Five Years
OSDI,1185109434,Prestige,1,Five Years
EUROS&P,2584683931,Prestige,2,Five Years
CVPR,1158167855,Prestige,3,Five Years
ISCA,1131341566,Prestige,4,Five Years
ICLR,2584161585,Prestige,5,Five Years
S&P,1163618098,Prestige,6,Five Years
ICML,1180662882,Prestige,7,Five Years
NeurIPS,1127325140,Prestige,8,Five Years
MICCAI,1129324708,Prestige,9,Five Years
ICCV,1164975091,Prestige,10,Five Years
CCS,1198471430,Prestige,11,Five Years
SECURITY,2537594308,Prestige,12,Five Years
ASPLOS,1174091362,Prestige,13,Five Years
EMNLP,1192655580,Prestige,14,Five Years
3DV,2754869338,Prestige,15,Five Years
MICRO,1150919317,Prestige,16,Five Years
ISSCC,1183230087,Prestige,17,Five Years
IJCNLP,1126706392,Prestige,18,Five Years
KDD,1130985203,Prestige,19,Five Years
ECCV,1124077590,Prestige,20,Five Years
FPGA,1136755600,Prestige,21,Five Years
UAI,1204606053,Prestige,22,Five Years
CoNLL,2724687765,Prestige,23,Five Years
ACL,1188739475,Prestige,24,Five Years
EACL,1188587990,Prestige,25,Five Years
AISTATS,2622962978,Prestige,26,Five Years
ASRU,2606697348,Prestige,27,Five Years
MM,1135237122,Prestige,28,Five Years
RecSys,1134284382,Prestige,29,Five Years
NAACL,1173951661,Prestige,30,Five Years
ICASSP,1121227772,Prestige,31,Five Years
SIGIR,1140684652,Prestige,32,Five Years
AAAI,1184914352,Prestige,33,Five Years
IEDM,2624381848,Prestige,34,Five Years
WSDM,1120384002,Prestige,35,Five Years
ICRA,1163902177,Prestige,36,Five Years
DAC,1187904452,Prestige,37,Five Years
BMVC,1198654179,Prestige,38,Five Years
ISMIR,1144674403,Prestige,39,Five Years
INTERSPEECH,1177287137,Prestige,40,Five Years
ECML,2755314191,Prestige,41,Five Years
IJCAI,1203999783,Prestige,42,Five Years
IROS,1143279144,Prestige,43,Five Years
WWW,1135342153,Prestige,44,Five Years
DSS,1182309694,Prestige,45,Five Years
WACV,1149655676,Prestige,46,Five Years
ISBI,1187587159,Prestige,47,Five Years
DATE,1178330879,Prestige,48,Five Years
ACCV,1174644639,Prestige,49,Five Years
COLING,1169674987,Prestige,50,Five Years
CIKM,1194094125,Prestige,51,Five Years
SLT,1196016004,Prestige,52,Five Years
